Rusis,Adresas (vietovė),"Talpa, m3"
Stiklas,Akacijų g. 20,"1,8"
Stiklas,Antanavos g. 21,"1,8"
Stiklas,Antanavos g. 9,"1,8"
Stiklas,Tyrulių g. 20,"2,3"
Stiklas,Bitininkų g. 31 mokykla,"2,3"
Stiklas,Bitininkų g. 19 darželis „Boružėlė“,"1,8"
Stiklas,Minkovskių g. 114,"1,8"
Stiklas,Freda Piliakalnio g. 9,"2,3"
Stiklas,"Freda, Barkūnų g. 5 MOLOC KONTEINERIS","1,3"
Stiklas,"Freda, Europos pr. 18 MOLOC KONTEINERIS","1,3"
Stiklas,"Freda, Europos pr. 28 MOLOC KONTEINERIS","1,3"
Stiklas,"Freda, Europos pr.-Saulėgrąžos g. MOLOC KONT","1,3"
Stiklas,"Freda, Žilibero g. 6, prie Kauno Botanikos sodo","1,8"
Stiklas,Julianavos g. 1A Stambiagabaritinių aikšt.,"1,8"
Stiklas,Lakūnų pl 44,"1,8"
Stiklas,"Technikumo g. 6 prie buitinio, kieme","1,8"
Stiklas,Svajonių al. 3,"1,8"
Stiklas,Vinčų g. 2,"1,8"
Stiklas,Vinčų g. 16,"1,8"
Stiklas,Vinčų g. 20,"1,8"
Stiklas,Birželio 23-osios 15,"1,8"
Stiklas,Birželio 23-osios 17,"2,3"
Stiklas,Draugystės g. 3 C,"1,8"
Stiklas,Draugystės g. 5 D-E,"1,8"
Stiklas,Draugystės g. 5 F,"1,8"
Stiklas,Draugystės g. 9E,"1,8"
Stiklas,Kovo 11-osios g. 59,"1,8"
Stiklas,Kovo 11-osios g. 69,"2,3"
Stiklas,Kovo 11- osios g. 50  vid. M-kla,"1,8"
Stiklas,Kovo 11-osios g. 74,"1,8"
Stiklas,Kovo 11-osios g. 78,"1,8"
Stiklas,Kovo 11-osios g. 82,"1,8"
Stiklas,Kovo 11-osios g. 84,"1,8"
Stiklas,Kovo 11-osios g. 96,"1,8"
Stiklas,Kovo 11-osios g. 98,"1,8"
Stiklas,Kovo 11-osios g. 100,"1,8"
Stiklas,Kovo 11-osios g. 94 V.Kuprevičiaus  vid.mok.,"1,8"
Stiklas,Partizanų g. 10 c,"2,3"
Stiklas,Partizanų g. 27,"1,8"
Stiklas,Partizanų g. 29i,"1,8"
Stiklas,Partizanų g. 224,"1,8"
Stiklas,Partizanų g. 228,"1,8"
Stiklas,Partizanų g. 106,"2,3"
Stiklas,Partizanų g. 110-112,"1,8"
Stiklas,Partizanų g. 124-130,"2,3; 1,8"
Stiklas,Partizanų g. 142,"1,8"
Stiklas,Partizanų g. 156,"1,8"
Stiklas,Partizanų g. 192 (prie regbio stadiono ),"1,8"
Stiklas,Partizanų g. 212,"1,8"
Stiklas,Partizanų g. 22 „Versmės“ vidurinė mokykla,"1,8"
Stiklas,Partizanų g. 26-28 ,"1,8"
Stiklas,Partizanų g. 36,"2,3"
Stiklas,Partizanų g. 42 lopš. Darž. „Vaikystė“,"1,8"
Stiklas,Partizanų g. 46 „Atžalyno“ vidurinė mokykla,"1,8"
Stiklas,Partizanų g. 48-50,"2,3"
Stiklas,Partizanų g. 5-7,"1,8"
Stiklas,Partizanų g. 54,"1,8"
Stiklas,Partizanų g. 55,"1,8"
Stiklas,Partizanų g. 56-56a,"1,8"
Stiklas,Partizanų g. 66,"1,8"
Stiklas,Partizanų g. 68 J.Urbšio vidurinė mokykla,"1,8"
Stiklas,Partizanų g. 70,"1,8"
Stiklas,Partizanų g. 74,"1,8"
Stiklas,Partizanų g. 78,"1,8"
Stiklas,Partizanų g. 86,"1,8"
Stiklas,Partizanų g. 116,"1,8"
Stiklas,Partizanų g. 176,"2,3"
Stiklas,Patrizanų g. 204 ,"2,3"
Stiklas,Pramonės pr. 26,"2,3"
Stiklas,Pramonės pr. 55,"1,8"
Stiklas,Pramonės pr. 57,"2,3"
Stiklas,Pramonės pr. 32,"1,8"
Stiklas,Pramonės pr. 43,"1,8"
Stiklas,Taikos pr. 109,"2,3"
Stiklas,Pramonės pr. 75,"1,8"
Stiklas,Pramonės pr. 77,"1,8"
Stiklas,Pramonės pr. 81/83-85,"1,8"
Stiklas,Taikos pr. 41 ,"1,8"
Stiklas,Taikos pr. 49 darželis,"1,8"
Stiklas,Taikos pr. 51 „Vyturio“ vid. Mokykla,"1,8"
Stiklas,Taikos pr. 53,"1,8"
Stiklas,Taikos pr. 86 c,"1,8"
Stiklas,Taikos pr. 99,"1,8"
Stiklas,Taikos pr. 95,"1,8"
Stiklas,Taikos pr. 75,"1,8"
Stiklas,Taikos pr. 117-119,"1,8"
Stiklas,Taikos pr. 69/73,"2,3"
Stiklas,Taikos pr. 125,"1,8"
Stiklas,V. Krėvės pr. 1,"1,8"
Stiklas,V. Krėvės pr. 10,"1,8"
Stiklas,V. Krėvės pr. 9b,"1,8"
Stiklas,V. Krėvės pr. 11,"2,3"
Stiklas,V. Krėvės pr. 15 (Įvažiavimas pro Partizanų g. 38),"2,3"
Stiklas,V.Krėvės pr. 17,"1,8"
Stiklas,V.Krėvės pr. 28,"1,8"
Stiklas,V.Krėvės pr. 29,"2,3"
Stiklas,V.Krėvės pr. 31,"1,8"
Stiklas,"V. Krėvės pr. 35 įvažiavimas iš Kovo 11-osios, už IKI","1,8"
Stiklas,V. Krėvės pr. 37,"1,8"
Stiklas,V. Krėvės pr. 51,"1,8"
Stiklas,V. Krėvės. pr.55,"1,8"
Stiklas,V. Krėvės pr. 61/65,"1,8"
Stiklas,V. Krėvės pr. 60,"1,8"
Stiklas,V.Krėvės pr. 71/69A,"1,8"
Stiklas,V.Krėvės pr. 60,"1,8"
Stiklas,V.Krėvės pr. 69/61,"1,8"
Stiklas,V. Krėvės pr. 14 MAXIMA,"1,8"
Stiklas,V. Krėvės pr. 58 darželis,"1,8"
Stiklas,V.Krėvės pr. 76,"1,8"
Stiklas,V.Krėvės pr. 78,"1,8"
Stiklas,V.Krėvės pr. 82 a,"1,3"
Stiklas,V.Krėvės pr. 104,"1,8"
Stiklas,V.Krėvės pr. 91,"1,8"
Stiklas,V.Krėvės pr. 93,"1,8"
Stiklas,V.Krėvės pr. 98,"2,3"
Stiklas,V.Krėvės pr. 99,"1,8"
Stiklas,V. Krėvės pr. 100,"1,8"
Stiklas,V. Krėvės pr. 113,"1,8"
Stiklas,V. Krėvės pr. 117,"2,3"
Stiklas,V. Krėvės pr. 107,"1,8"
Stiklas,V. Krėvės pr. 22,"1,8"
Stiklas,V. Krėvės pr. 114 d,"1,8"
Stiklas,Savanorių pr. 246 ,"2,3"
Stiklas,Savanorių pr. 256,"2,3"
Stiklas,Savanorių pr. 278,"2,3"
Stiklas,Savanorių pr. 294,"2,3"
Stiklas,Savanorių pr. 300,"1,8"
Stiklas,Savanorių pr. 306,"2,3"
Stiklas,Savanorių pr. 314,"2,3"
Stiklas,"Savanorių pr. 362, prie Dubingių pard.","1,8"
Stiklas,Savanorių pr. 372,"1,8"
Stiklas,Karmėlavos kapinės (prie administracinio pastato),"2,3"
Stiklas,Dubingių 10 ,"1,8"
Stiklas,A.Jakšto g. 16 MOLOC KONTEINERIAI,"1,3"
Stiklas,Donelaičio 61,"1,3"
Stiklas,Karaliaus Mindaugo g. 68,"2,3"
Stiklas,Gimnazijos g. 3 Maironio gimnazija,"1,8"
Stiklas,Kauno pilis (autobusų apsisukimo vieta),"2,3"
Stiklas,Kauno pilis (prie tualeto),"1,8"
Stiklas,Kęstučio g. 55 MOLOC KONTEINERIS,"1,3"
Stiklas,Kęstučio g. 61 prie mūrinės tvoros;,"1,8"
Stiklas,Kurpių g. 25 MOLOC KONTEINERIS,"1,3"
Stiklas,Maironio g. 1 prie MOLOC KONTEINERIS,"1,3"
Stiklas,Maironio g.1 varpas (statyti toliau nuo tujų),"1,8"
Stiklas,Prieplaukos kr. 7 MOLOC KONTEINERIS,"1,3"
Stiklas,Rotušės a. 9 Jėzuitų gimnazija,"1,8"
Stiklas,"Sopranų g. 5 (laidai, gal perstatyt...)","1,8"
Stiklas,Šv. Gertrūdos g. 5 MOLOC KONTEINERIS,"1,3"
