id,adresas,talpa,kiekis,seniūnija
1,Marvelės g. 58/62,"1,8",1,ALEKSOTO SENIŪNIJA
2,Akacijų g. 20,"1,8",1,ALEKSOTO SENIŪNIJA
3,Antanavos g. 21,"1,8",1,ALEKSOTO SENIŪNIJA
4,Antanavos g. 9,"1,8",1,ALEKSOTO SENIŪNIJA
5,Balbieriškio g.,"1,8",1,ALEKSOTO SENIŪNIJA
6,Bitininkų g. 19 darželis „Boružėlė“,"1,8",1,ALEKSOTO SENIŪNIJA
7,Bitininkų g. 31 Julijanavos vidurinė mokykla,"1,8",1,ALEKSOTO SENIŪNIJA
8,"Freda, Barkūnų g. 5 MOLOC KONTEINERIS","1,3",1,ALEKSOTO SENIŪNIJA
9,"Freda, Europos pr. 18 MOLOC KONTEINERIS","1,3",1,ALEKSOTO SENIŪNIJA
10,"Freda, Europos pr. 28 MOLOC KONTEINERIS","1,3",1,ALEKSOTO SENIŪNIJA
11,"Freda, Europos pr.-Saulėgrąžos g. MOLOC KONT","1,3",1,ALEKSOTO SENIŪNIJA
12,"Freda, Žilibero g. 6, prie Kauno Botanikos sodo","1,8",1,ALEKSOTO SENIŪNIJA
13,Julianavos g. 1A Stambiagabaritinių aikšt.,"1,8",1,ALEKSOTO SENIŪNIJA
14,Lakūnų pl 44,"1,8",1,ALEKSOTO SENIŪNIJA
15,Juodelynės/Dvarų g.,"1,8",1,ALEKSOTO SENIŪNIJA
16,Dvarų/Santarvės g,"1,8",1,ALEKSOTO SENIŪNIJA
17,Kalvarijos g. / Dragių,"1,8",1,ALEKSOTO SENIŪNIJA
18,Kalvarijos g. 72,"1,8",1,ALEKSOTO SENIŪNIJA
19,Marvelės g. (Gatvės gale),"1,8",1,ALEKSOTO SENIŪNIJA
20,Pilviškių g. aikštelėje,"2,3",1,ALEKSOTO SENIŪNIJA
21,S. Čiurlionienės-Kymantaitės g. 13 prie el. skirst. Dėžės,"1,8",1,ALEKSOTO SENIŪNIJA
22,S.Darius ir S.Girėno g. / Veiverių g. sankirta,"2,3",1,ALEKSOTO SENIŪNIJA
23,S.Darius ir S.Girėno g. 46 (Čepinskio g. 2),"1,8",1,ALEKSOTO SENIŪNIJA
24,Čepinskio g. 5,"1,8",1,ALEKSOTO SENIŪNIJA
25,Svirbygalos g. prieš namą Nr. 13,"1,8",1,ALEKSOTO SENIŪNIJA
26,"Technikumo g. 6 prie buitinio, kieme","1,8",1,ALEKSOTO SENIŪNIJA
27,Vaitkaus/ Kumpio kampas,"1,8",1,ALEKSOTO SENIŪNIJA
28,Veiverių g. /Briedžio g. prie pagrindinio kelio,"1,8",1,ALEKSOTO SENIŪNIJA
29,Vinčų g. 2,"1,8",1,ALEKSOTO SENIŪNIJA
30,Vinčų g. 16,"1,8",1,ALEKSOTO SENIŪNIJA
31,Vinčų g. 20,"1,8",1,ALEKSOTO SENIŪNIJA
32,A.Jakšto g. 16 MOLOC KONTEINERIAI,"1,3",1,CENTRO SENIŪNIJA
33,Donelaičio 61,"1,3",1,CENTRO SENIŪNIJA
34,Geležinkelio turgavietė,"1,8",1,CENTRO SENIŪNIJA
35,Gimnazijos g. 3 Maironio gimnazija,"1,8",1,CENTRO SENIŪNIJA
36,Kauno pilis (autobusų apsisukimo vieta),"2,3",1,CENTRO SENIŪNIJA
37,Kauno pilis (prie tualeto),"1,8",1,CENTRO SENIŪNIJA
38,Kęstučio g. 55 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
39,Kęstučio g. 61 ,"1,8",1,CENTRO SENIŪNIJA
40,Kumelių g. 10 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
41,Kurpių g. 25 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
42,Maironio g. 1 prie MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
43,Maironio g.1 varpas (statyti toliau nuo tujų),"1,8",1,CENTRO SENIŪNIJA
44,Nemuno g. 26,"1,8",1,CENTRO SENIŪNIJA
45,Nemuno g. 26 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
46,Prie amfiteatro,"1,8",1,CENTRO SENIŪNIJA
47,Prieplaukos kr. 7 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
48,Ramybės parkas Įvaž. Iš Totorių gatvės,"1,8",1,CENTRO SENIŪNIJA
49,Rotušės a. 1 MOLOC KONTEINERIAI,5,2,CENTRO SENIŪNIJA
50,Rotušės a. 9 Jėzuitų gimnazija,"1,8",1,CENTRO SENIŪNIJA
51,Rotušės aikštė,"1,8",1,CENTRO SENIŪNIJA
52,Sopranų g. 5 ,"1,8",1,CENTRO SENIŪNIJA
53,Šv. Gertrūdos g. 5 MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
54,Šv. Gertrūdos g. 8a MOLOC KONTEINERIS,"1,3",1,CENTRO SENIŪNIJA
55,Šv.Gertrūdos g. 22 A(automobilių stovėjimo aikštelė),"1,8",1,CENTRO SENIŪNIJA
56,V. Putvinskio g.  prie laiptų;,"1,8",1,CENTRO SENIŪNIJA
57,Vytauto pr. 43a „Vytauto“ namai,"1,8",1,CENTRO SENIŪNIJA
58,Vytauto pr. 24 Autobusu stotis,"1,8",1,CENTRO SENIŪNIJA
59,Vytauto pr. 50 A,"1,8",1,CENTRO SENIŪNIJA
60,Vytauto pr. 60,"1,8",1,CENTRO SENIŪNIJA
61,Gedimino g. 10,"1,8",1,CENTRO SENIŪNIJA
62,DAINAVOS SENIŪNIJA,,,CENTRO SENIŪNIJA
63,Birželio 23-osios 15,"1,8",1,CENTRO SENIŪNIJA
64,Draugystės g. 3 C,"1,8",1,CENTRO SENIŪNIJA
65,Draugystės g. 5 D-E,"1,8",1,CENTRO SENIŪNIJA
66,Draugystės g. 5 F,"1,8",1,CENTRO SENIŪNIJA
67,Draugystės g. 8,"1,8",1,CENTRO SENIŪNIJA
68,Draugystės g. 9E,"1,8",1,CENTRO SENIŪNIJA
69,Kovo 11-osios g. 59,"1,8",1,CENTRO SENIŪNIJA
70,Kovo 11-osios g. 69,"1,8",1,CENTRO SENIŪNIJA
71,Kovo 11- osios g. 50  vid. M-kla,"1,8",1,CENTRO SENIŪNIJA
72,Kovo 11-osios g. 74,"1,8",1,CENTRO SENIŪNIJA
73,Kovo 11-osios g. 78,"1,8",1,CENTRO SENIŪNIJA
74,Kovo 11-osios g. 82,"1,8",1,CENTRO SENIŪNIJA
75,Kovo 11-osios g. 84,"1,8",1,CENTRO SENIŪNIJA
76,Kovo 11-osios g. 96,"1,8",1,CENTRO SENIŪNIJA
77,Kovo 11-osios g. 98,"1,8",1,CENTRO SENIŪNIJA
78,Kovo 11-osios g. 100,"1,8",1,CENTRO SENIŪNIJA
79,Kovo 11-osios g. 94 V.Kuprevičiaus  vid.mok.,"1,8",1,CENTRO SENIŪNIJA
80,Partizanų g. 10 c,"1,8",1,CENTRO SENIŪNIJA
81,Partizanų g. 224,"1,8",1,CENTRO SENIŪNIJA
82,Partizanų g. 228,"1,8",1,CENTRO SENIŪNIJA
83,Partizanų g. 110-112,"1,8",1,CENTRO SENIŪNIJA
84,Partizanų g. 124-130,"1,8",1,CENTRO SENIŪNIJA
85,Partizanų g. 142,"1,8",1,CENTRO SENIŪNIJA
86,Partizanų g. 156,"1,8",1,CENTRO SENIŪNIJA
87,Partizanų g. 192 ,"1,8",1,CENTRO SENIŪNIJA
88,Partizanų g. 212,"1,8",1,CENTRO SENIŪNIJA
89,Partizanų g. 22 „Versmės“ vidurinė mokykla,"1,8",1,CENTRO SENIŪNIJA
90,Partizanų g. 26-28 ,"1,8",1,CENTRO SENIŪNIJA
91,Partizanų g. 36,"2,3",1,CENTRO SENIŪNIJA
92,Partizanų g. 42 lopš. Darž. „Vaikystė“,"1,8",1,CENTRO SENIŪNIJA
93,Partizanų g. 46 „Atžalyno“ vidurinė mokykla,"1,8",1,CENTRO SENIŪNIJA
94,Partizanų g. 48-50,"2,3",1,CENTRO SENIŪNIJA
95,Partizanų g. 5-7,"1,8",1,CENTRO SENIŪNIJA
96,Partizanų g. 54,"1,8",1,CENTRO SENIŪNIJA
97,Partizanų g. 55,"1,8",1,CENTRO SENIŪNIJA
98,Partizanų g. 56-56a,"1,8",1,CENTRO SENIŪNIJA
99,Partizanų g. 66,"1,8",1,CENTRO SENIŪNIJA
