Paslaugų pavadinimas,Seniunija,Gatvė \ Objektas,Plotas,Mato vnt.
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,ČIURLIONIO M.K. TILTAS SU PRIETILČIAIS,19672,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,DARIAUS S. IR GIRĖNO S. (IKI JULIJANAVOS G.),20135,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,EUROPOS PR. ,58832,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,KALVARIJOS ,16571,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,LAZDIJŲ G.,10580,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,MARVELĖS G. (SENOJI),19710,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,MINKOVSKIŲ H. IR O.,36083,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,PILIAKALNIO,20002,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,SENIAVOS PL.,16227,m² 
"MECHANIZUOTAS SUSIKAUPUSIŲ DULKIŲ, ŽEMIŲ, ŠIUKŠLIŲ IR KITŲ NEŠVARUMŲ (SĄŠLAVŲ) VALYMAS NUO VAŽIUOJAMOSIOS GATVĖS DALIES ",ALEKSOTO SENIŪNIJA,TECHNIKUMO G.,17020,m² 
