SENIUNIJA;INFO;GATVE;DANGA;DARBAS;MATAS;id
Aleksoto;APÞVALGOS AIKÐTELË;ALEKSOTO;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;1
Aleksoto;;BITININKØ;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;2
Aleksoto;;JUODELYNËS;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;3
Aleksoto;;NAUGARDIÐKIØ PARKAS;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;4
Aleksoto;KAPINËS;SENIAVOS PL.;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;5
Aleksoto;;TECHNIKUMO;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;6
Aleksoto;;VINÈØ;WC;Kilnojamojo WC ilgalaikë nuoma;mënuo;7
Aleksoto;APÞVALGOS AIKÐTELË;ALEKSOTO;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;8
Aleksoto;;BITININKØ;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;9
Aleksoto;;JUODELYNËS;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;10
Aleksoto;;NAUGARDIÐKIØ PARKAS;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;11
Aleksoto;KAPINËS;SENIAVOS PL.;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;12
Aleksoto;;TECHNIKUMO;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;13
Aleksoto;;VINÈØ;WC;Kilnojamojo WC prieþiûra ilgalaikës nuomos laikotarpiu;kartas;14
Aleksoto;;ALEKSOTO APÞVALGOS AIKÐTE;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;15
Aleksoto;;AVIACIJOS LAIPTAI;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;16
Aleksoto;LAIPTAI;GARLIAVOS TAKAS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;17
Aleksoto;LAIPTAI;KYBARTØ;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;18
Aleksoto;LAIPTAI;MARVELËS;Laiptai;Laiptø prieþiûra (áskaitant sniego nukasimà ir laiptø pabarstymà smëlio ir druskos miðiniu);m2;19
