Paslaugų pavadinimas,Seniunija,gatvė,Plotas      ,Mato vnt.
VEJŲ ŠIENAVIMAS TRAKTORINE ŠIENAPJOVE  ,EIGULIŲ SENIŪNIJA,Landsbergio-Žemkalnio V. g.,"0,3816",ha
VEJŲ ŠIENAVIMAS TRAKTORINE ŠIENAPJOVE  ,EIGULIŲ SENIŪNIJA,Lukšio P. g.,"0,9504",ha
VEJŲ ŠIENAVIMAS TRAKTORINE ŠIENAPJOVE  ,EIGULIŲ SENIŪNIJA,Sukilėlių pr. (nuo J.Lukšos g. iki Ašigalio g.),"1,2380",ha
VEJŲ ŠIENAVIMAS TRAKTORINE ŠIENAPJOVE  ,EIGULIŲ SENIŪNIJA,Šiaurės pr.,"1,9289",ha
VEJŲ ŠIENAVIMAS TRAKTORINE ŠIENAPJOVE  ,EIGULIŲ SENIŪNIJA,Žukausko S. g.,"0,9084",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Kleboniškio g. (aplink dviračių taką),"0,1144",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Landsbergio - Žemkalnio V. g.,"0,0465",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Lukšio P. g.,"0,4465",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Nuovažos iš Islandijos pl.,"0,4194",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Prie Eigulių kapinių,"0,1475",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Sukilėlių pr. (nuo J.Lukšos g. iki Ašigalio g.),"0,0903",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Šiaurės pr.,"7,1686",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,EIGULIŲ SENIŪNIJA,Žukausko S. g.,"1,4536",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,Lašo V. g.,"0,2073",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,Nuokalnės g.,"0,1280",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,Sukilėlių pr. (nuo J.Lukšos g. iki Tvirtovės al.),"0,5311",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,Sukilėlių pr.-Lazūnų g. ir Gervėčių g. kampas,"0,1748",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,Tvirtovės al.,"0,9869",ha
VEJŲ ŠIENAVIMAS MAŽĄJA TECHNIKA  ,ŽALIAKALNIO SENIŪNIJA,VII forto teritorija (prie žydų žudinių atminimo paminklo),"0,0450",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,EIGULIŲ SENIŪNIJA,Nuovažos iš Islandijos pl.,"3,7253",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,EIGULIŲ SENIŪNIJA,Šiaurės pr. šl.,"1,4714",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Jonavos g. šl.,"0,7318",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Nuokalnės g. šl.,"2,2155",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Nuovažos į Jonavos g. iš Nuokalnės g.,"0,8759",ha
VEJŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Tvirtovės al. šl.,"0,0880",ha
SOSNOVSKIO BARŠČIŲ ŠLAITUOSE ŠIENAVIMAS ,EIGULIŲ SENIŪNIJA,Šiaurės pr. šlaitai,"0,0500",ha
SOSNOVSKIO BARŠČIŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Jonavos g. šl.,"0,0700",ha
SOSNOVSKIO BARŠČIŲ ŠLAITUOSE ŠIENAVIMAS ,ŽALIAKALNIO SENIŪNIJA,Nuokalnės g. šl.,"0,0200",ha
